MSN,Description,Unit
LGACB,LPG consumed by the transportation sector.,Billion Btu
LGACD,LPG price in the transportation sector.,Dollars per million Btu
LGACP,LPG consumed by the transportation sector.,Thousand barrels
LGACV,LPG expenditures in the transportation sector.,Million dollars
LGCCB,LPG consumed by the commercial sector.,Billion Btu
LGCCD,LPG price in the commercial sector.,Dollars per million Btu
LGCCP,LPG consumed by the commercial sector.,Thousand barrels
LGCCV,LPG expenditures in the commercial sector.,Million dollars
LGICB,LPG consumed by the industrial sector.,Billion Btu
LGICD,LPG price in the industrial sector.,Dollars per million Btu
LGICP,LPG consumed by the industrial sector.,Thousand barrels
LGICV,LPG expenditures in the industrial sector.,Million dollars
LGISB,LPG consumed in the industrial sector excluding refinery fuel.,Billion Btu
LGRCB,LPG consumed by the residential sector.,Billion Btu
LGRCD,LPG price in the residential sector.,Dollars per million Btu
LGRCP,LPG consumed by the residential sector.,Thousand barrels
LGRCV,LPG expenditures in the residential sector.,Million dollars
LGRFB,LPG consumed as refinery fuel.,Billion Btu
LGTCB,LPG total consumption.,Billion Btu
LGTCD,"LPG average price, all sectors.",Dollars per million Btu
LGTCP,LPG total consumption.,Thousand barrels
LGTCV,LPG total expenditures.,Million dollars
LGTXB,LPG total end-use consumption.,Billion Btu
LGTXD,"LPG average price, all end-use sectors.",Dollars per million Btu
LGTXP,LPG total end-use consumption.,Thousand barrels
LGTXV,LPG total end-use expenditures.,Million dollars
LUACB,Lubricants consumed by the transportation sector.,Billion Btu
LUACD,Lubricants price in the transportation sector.,Dollars per million Btu
LUACP,Lubricants consumed by the transportation sector.,Thousand barrels
LUACV,Lubricants expenditures in the transportation sector.,Million dollars
LUICB,Lubricants consumed by the industrial sector.,Billion Btu
LUICD,Lubricants price in the industrial sector.,Dollars per million Btu
LUICP,Lubricants consumed by the industrial sector.,Thousand barrels
LUICV,Lubricants expenditures in the industrial sector.,Million dollars
LUTCB,Lubricants total consumption.,Billion Btu
LUTCD,"Lubricants average price, all sectors.",Dollars per million Btu
LUTCP,Lubricants total consumption.,Thousand barrels
LUTCV,"Lubricants average price, all sectors.",Million dollars
LUTXB,Lubricants total end-use consumption.,Billion Btu
LUTXD,"Lubricants average price, all end-use sectors.",Dollars per million Btu
LUTXP,Lubricants total end-use consumption.,Thousand barrels
LUTXV,Lubricants total end-use expenditures.,Million dollars
MBICB,Motor gasoline blending components consumed by the industrial sector.,Billion Btu
MBICP,Motor gasoline blending components consumed by the industrial sector.,Thousand barrels
MGACB,Motor gasoline consumed by the transportation sector.,Billion Btu
MGACD,Motor gasoline price in the transportation sector.,Dollars per million Btu
MGACP,Motor gasoline consumed by the transportation sector.,Thousand barrels
MGACV,Motor gasoline expenditures in the transportation sector.,Million dollars
MGCCB,Motor gasoline consumed by the commercial sector.,Billion Btu
MGCCD,Motor gasoline price in the commercial sector.,Dollars per million Btu
MGCCP,Motor gasoline consumed by the commercial sector.,Thousand barrels
MGCCV,Motor gasoline expenditures in the commercial sector.,Million dollars
MGICB,Motor gasoline consumed by the industrial sector.,Billion Btu
MGICD,Motor gasoline price in the industrial sector.,Dollars per million Btu
MGICP,Motor gasoline consumed by the industrial sector.,Thousand barrels
MGICV,Motor gasoline expenditures in the industrial sector.,Million dollars
MGTCB,Motor gasoline total consumption.,Billion Btu
MGTCD,"Motor gasoline average price, all sectors.",Dollars per million Btu
MGTCP,Motor gasoline total consumption.,Thousand barrels
MGTCV,Motor gasoline total expenditures.,Million dollars
MGTXB,Motor gasoline total end-use consumption.,Billion Btu
MGTXD,"Motor gasoline average price, all end-use sectors.",Dollars per million Btu
MGTXP,Motor gasoline total end-use consumption.,Thousand barrels
MGTXV,Motor gasoline total end-use expenditures.,Million dollars
MMTCB,Motor gasoline total consumption excluding fuel ethanol.,Billion Btu
MSICB,Miscellaneous petroleum products consumed by the industrial sector.,Billion Btu
MSICD,Miscellaneous petroleum products price in the industrial sector.,Dollars per million Btu
MSICP,Miscellaneous petroleum products consumed by the industrial sector.,Thousand barrels
MSICV,Miscellaneous petroleum products expenditures in the industrial sector.,Million dollars
NAICB,Natural gasoline consumed by the industrial sector.,Billion Btu
NAICP,Natural gasoline consumed by the industrial sector.,Thousand barrels
NGACB,Natural gas consumed by the transportation sector. ,Billion Btu
NGACD,Natural gas price in the transportation sector.,Dollars per million Btu
NGACP,Natural gas consumed by the transportation sector.,Million cubic feet
NGACV,Natural gas expenditures in the transportation sector.,Million dollars
NGCCB,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).,Billion Btu
NGCCD,Natural gas price in the commercial sector (including supplemental gaseous fuels).,Dollars per million Btu
NGCCP,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).,Million cubic feet
NGCCV,Natural gas expenditures in the commercial sector (including supplemental gaseous fuels).,Million dollars
NGEIB,Natural gas consumed by the electric power sector (including supplemental gaseous fuels).,Billion Btu
NGEID,Natural gas price in the electric power sector (including supplemental gaseous fuels).,Dollars per million Btu
NGEIK,Factor for converting natural gas consumed by the electric power sector from physical units to Btu.,Thousand Btu per cubic foot
NGEIP,Natural gas consumed by the electric power sector (including supplemental gaseous fuels).,Million cubic feet
NGEIV,Natural gas expenditures in the electric power sector (including supplemental gaseous fuels).,Million dollars
NGICB,Natural gas consumed by (delivered to) the industrial sector (including supplemental gaseous fuels).,Billion Btu
NGICD,Natural gas price in the industrial sector (including supplemental gaseous fuels).,Dollars per million Btu
NGICP,Natural gas consumed by (delivered to) the industrial sector (including supplemental gaseous fuels).,Million cubic feet
NGICV,Natural gas expenditures in the industrial sector (including supplemental gaseous fuels).,Million dollars
NGISB,Natural gas consumed by the industrial sector excluding refinery fuel (including supplemental gaseous fuels).,Billion Btu
NGLPB,Natural gas consumed as lease and plant fuel.,Billion Btu
NGLPP,Natural gas consumed as lease and plant fuel.,Million cubic feet
NGMPB,Natural gas marketed production.,Billion Btu
NGMPK,Conversion factor for natural gas marketed production.,Thousand Btu per cubic feet
NGMPP,Natural gas marketed production.,Million cubic feet
NGPZB,Natural gas consumed as pipeline fuel.,Billion Btu
NGPZP,Natural gas consumed as pipeline fuel.,Million cubic feet
NGRCB,Natural gas consumed by (delivered to) the residential sector (including supplemental gaseous fuels).,Billion Btu
NGRCD,Natural gas price in the residential sector (including supplemental gaseous fuels).,Dollars per million Btu
NGRCP,Natural gas consumed by (delivered to) the residential sector (including supplemental gaseous fuels).,Million cubic feet
NGRCV,Natural gas expenditures in the residential sector (including supplemental gaseous fuels).,Million dollars
NGRFB,Natural gas consumed as refinery fuel (including supplemental gaseous fuels). ,Billion Btu
NGTCB,Natural gas total consumption (including supplemental gaseous fuels).,Billion Btu
NGTCD,"Natural gas average price, all sectors (including supplemental gaseous fuels).",Dollars per million Btu
NGTCK,Factor for converting natural gas total consumption from physical units to Btu.,Thousand Btu per cubic foot
NGTCP,Natural gas total consumption (including supplemental gaseous fuels).,Million cubic feet
NGTCV,Natural gas total expenditures (including supplemental gaseous fuels).,Million dollars
NGTXB,Natural gas total end-use consumption (including supplemental gaseous fuels).,Billion Btu
NGTXD,"Natural gas average price, all end-use sectors (including supplemental gaseous fuels).",Dollars per million Btu
NGTXK,Factor for converting natural gas consumed by all sectors other than electric power from physical units to Btu.,Thousand Btu per cubic foot
NGTXP,Natural gas total end-use consumption (including supplemental gaseous fuels).,Million cubic feet
NGTXV,Natural gas total end-use expenditures (including supplemental gaseous fuels).,Million dollars
NGVHB,Natural gas consumed as vehicle fuel.,Billion Btu
NGVHP,Natural gas consumed as vehicle fuel.,Million cubic feet
NUETB,Electricity produced from nuclear power.,Billion Btu
NUETD,"Nuclear fuel average price, all sectors.",Dollars per million Btu
NUETP,Electricity produced from nuclear power.,Million kilowatthours
NUETV,Nuclear fuel total expenditures.,Million dollars
P1ICB,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.",Billion Btu
P1ICD,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" average price in the  industrial sector.",Dollars per million Btu
P1ICP,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.",Thousand barrels
P1ICV,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" expenditures in the  industrial sector.",Million dollars
P1TCB,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.",Billion Btu
P1TCD,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all sectors.",Dollars per million Btu
P1TCP,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.",Thousand barrels
P1TCV,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total expenditures.",Million dollars
P1TXB,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.",Billion Btu
P1TXD,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all end-use sectors.",Dollars per million Btu
P1TXP,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.",Thousand barrels
P1TXV,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use expenditures.",Million dollars
P5RFB,"Other petroleum products (SG and PC consumed as process fuel and AB, MB, PP, and UO consumed as intermediate products).",Billion Btu
PAACB,All petroleum products consumed by the transportation sector.,Billion Btu
PAACD,All petroleum products average price in the transportation sector.,Dollars per million Btu
PAACP,All petroleum products consumed by the transportation sector.,Thousand barrels
PAACV,All petroleum products total expenditures in the transportation sector.,Million dollars
PACCB,All petroleum products consumed by the commercial sector.,Billion Btu
PACCD,All petroleum products average price in the commercial sector.,Dollars per million Btu
PACCP,All petroleum products consumed by the commercial sector.,Thousand barrels
PACCV,All petroleum products total expenditures in the commercial sector.,Million dollars
PAEIB,All petroleum products consumed by the electric power sector.,Billion Btu
PAEID,All petroleum products average price in the electric power sector.,Dollars per million Btu
PAEIP,All petroleum products consumed by the electric power sector.,Thousand barrels
PAEIV,All petroleum products total expenditures in the electric power sector.,Million dollars
PAICB,All petroleum products consumed by the industrial sector.,Billion Btu
PAICD,All petroleum products average price in the industrial sector.,Dollars per million Btu
PAICP,All petroleum products consumed by the industrial sector.,Thousand barrels
PAICV,All petroleum products total expenditures in the industrial sector.,Million dollars
PAPRB,Crude oil production (including lease condensate).,Billion Btu
PAPRP,Crude oil production (including lease condensate).,Thousand barrels
PARCB,All petroleum products consumed by the residential sector.,Billion Btu
PARCD,All petroleum products average price in the residential sector.,Dollars per million Btu
PARCP,All petroleum products consumed by the residential sector.,Thousand barrels
PARCV,All petroleum products total expenditures in the residential sector.,Million dollars
PATCB,All petroleum products total consumption.,Billion Btu
PATCD,"All petroleum products average price, all sectors.",Dollars per million Btu
PATCP,All petroleum products total consumption.,Thousand barrels
PATCV,All petroleum products total expenditures.,Million dollars
PATXB,All petroleum products total end-use consumption.,Billion Btu
PATXD,"All petroleum products average price, all end-use sectors.",Dollars per million Btu
PATXP,All petroleum products total end-use consumption.,Thousand barrels
PATXV,All petroleum products total end-use expenditures.,Million dollars
PCCCB,Petroleum coke consumed by the commercial sector.,Billion Btu
PCCCD,Petroleum coke price in the commercial sector.,Dollars per million Btu
PCCCP,Petroleum coke consumed by the commercial sector.,Thousand barrels
PCCCV,Petroleum coke expenditures in the commercial sector.,Million dollars
PCEIB,Petroleum coke consumed by the electric power sector.,Billion Btu
PCEID,Petroleum coke price in the electric power sector.,Dollars per million Btu
PCEIP,Petroleum coke consumed by the electric power sector.,Thousand barrels
PCEIV,Petroleum coke expenditures in the electric power sector.,Million dollars
PCICB,Petroleum coke consumed by the industrial sector.,Billion Btu
PCICD,Petroleum coke price in the industrial sector.,Dollars per million Btu
PCICP,Petroleum coke consumed by the industrial sector.,Thousand barrels
PCICV,Petroleum coke expenditures in the industrial sector.,Million dollars
PCISB,Petroleum coke price in the industrial sector excluding refinery fuel.,Billion Btu
PCRFB,Petroleum coke consumed as refinery fuel.,Billion Btu
PCTCB,Petroleum coke total consumption.,Billion Btu
PCTCD,"Petroleum coke average price, all sectors.",Dollars per million Btu
PCTCP,Petroleum coke total consumption.,Thousand barrels
PCTCV,Petroleum coke total expenditures.,Million dollars
PEACD,Primary energy average price in the transportation sector.,Dollars per million Btu
PEACV,Primary energy total expenditures in the transportation sector.,Million dollars
PECCD,Primary energy average price in the commercial sector.,Dollars per million Btu
PECCV,Primary energy total expenditures in the commercial sector.,Million dollars
PEEID,Primary energy average price in the electric power sector.,Dollars per million Btu
PEEIV,Primary energy total expenditures in the electric power sector.,Million dollars
PEICD,Primary energy average price in the industrial sector.,Dollars per million Btu
PEICV,Primary energy total expenditures in the industrial sector.,Million dollars
PERCD,Primary energy average price in the residential sector.,Dollars per million Btu
PERCV,Primary energy total expenditures in the residential sector.,Million dollars
PETCD,"Primary energy average price, all sectors.",Dollars per million Btu
PETCV,Primary energy total expenditures.,Million dollars
PETXD,"Primary energy average price, all end-use sectors.",Dollars per million Btu
PETXV,Primary energy total end-use expenditures.,Million dollars
PLICB,Plant condensate consumed by the industrial sector.,Billion Btu
PLICP,Plant condensate consumed by the industrial sector.,Thousand barrels
POICB,Other petroleum products consumed by the industrial sector.,Billion Btu
POICD,Other petroleum products average price in the industrial sector.,Dollars per million Btu
POICP,Other petroleum products consumed by the industrial sector.,Thousand barrels
POICV,Other petroleum products total expenditures in the industrial sector.,Million dollars
POTCB,Other petroleum products total consumption.,Billion Btu
POTCD,"Other petroleum products average price, all sectors.",Dollars per million Btu
POTCP,Other petroleum products total consumption.,Thousand barrels
POTCV,Other petroleum products total expenditures.,Million dollars
POTXB,Other petroleum products total end-use consumption.,Billion Btu
POTXD,"Other petroleum products average price, all end-use sectors.",Dollars per million Btu
POTXP,Other petroleum products total end-use consumption.,Thousand barrels
POTXV,Other petroleum products total end-use expenditures.,Million dollars
PPICB,Pentanes plus consumed by the industrial sector.,Billion Btu
PPICP,Pentanes plus consumed by the industrial sector.,Thousand barrels
REPRB,Renewable energy production.,Billion Btu
RETCB,Renewable energy total consumption.,Billion Btu
RFACB,Residual fuel oil consumed by the transportation sector.,Billion Btu
RFACD,Residual fuel oil price in the transportation sector.,Dollars per million Btu
RFACP,Residual fuel oil consumed by the transportation sector.,Thousand barrels
RFACV,Residual fuel oil expenditures in the transportation sector.,Million dollars
RFCCB,Residual fuel oil consumed by the commercial sector.,Billion Btu
RFCCD,Residual fuel oil price in the commercial sector.,Dollars per million Btu
RFCCP,Residual fuel oil consumed by the commercial sector.,Thousand barrels
RFCCV,Residual fuel oil expenditures in the commercial sector.,Million dollars
RFEIB,Residual fuel oil consumed by the electric power sector.,Billion Btu
RFEID,Residual fuel oil price in the electric power sector.,Dollars per million Btu
RFEIP,Residual fuel oil consumed by the electric power sector.,Thousand barrels
RFEIV,Residual fuel oil expenditures in the electric power sector.,Million dollars
RFICB,Residual fuel oil consumed by the industrial sector.,Billion Btu
RFICD,Residual fuel oil price in the industrial sector.,Dollars per million Btu
RFICP,Residual fuel oil consumed by the industrial sector,Thousand barrels
RFICV,Residual fuel oil expenditures in the industrial sector.,Million dollars
RFISB,Residual fuel oil consumed by the industrial sector excluding refinery fuel.,Billion Btu
RFRFB,Residual fuel oil consumed as refinery fuel.,Billion Btu
RFTCB,Residual fuel oil total consumption.,Billion Btu
RFTCD,"Residual fuel oil average price, all sectors.",Dollars per million Btu
RFTCP,Residual fuel oil total consumption.,Thousand barrels
RFTCV,Residual fuel oil total expenditures.,Million dollars
RFTXB,Residual fuel oil total end-use consumption.,Billion Btu
RFTXD,"Residual fuel oil average price, all end-use sectors.",Dollars per million Btu
RFTXP,Residual fuel oil total end-use consumption.,Thousand barrels
RFTXV,Residual fuel oil total end-use expenditures.,Million dollars
ROPRB,"Renewable energy production, other than fuel ethanol.",Billion Btu
SFCCB,Supplemental gaseous fuels consumed by the commercial sector.,Billion Btu
SFEIB,Supplemental gaseous fuels consumed by the electric power sector.,Billion Btu
SFINB,Supplemental gaseous fuels consumed by the industrial sector.,Billion Btu
SFRCB,Supplemental gaseous fuels consumed by the residential sector.,Billion Btu
SFTCB,Supplemental gaseous fuels total consumption.,Billion Btu
SGICB,Still gas consumed by the industrial sector.,Billion Btu
SGICP,Still gas consumed by the industrial sector.,Thousand barrels
SNICB,Special naphthas consumed by the industrial sector.,Billion Btu
SNICD,Special naphthas price in the industrial sector.,Dollars per million Btu
SNICP,Special naphthas consumed by the industrial sector.,Thousand barrels
SNICV,Special naphthas expenditures in the industrial sector.,Million dollars
SOHCB,Solar thermal energy consumed by the residential and commercial sectors.,Billion Btu
TEACB,Total energy consumed by the transportation sector.,Billion Btu
TEACD,Total energy average price in the transportation sector.,Dollars per million Btu
TEACV,Total energy expenditures in the transportation sector.,Million dollars
TECCB,Total energy consumed by the commercial sector.,Billion Btu
TECCD,Total energy average price in the commercial sector.,Dollars per million Btu
TECCV,Total energy expenditures in the commercial sector.,Million dollars
TEEIB,Total energy consumed by the electric power sector.,Billion Btu
TEGDS,Energy expenditures as share of current-dollar GDP.,Percent
TEICB,Total energy consumed by the industrial sector.,Billion Btu
TEICD,Total energy average price in the industrial sector.,Dollars per million Btu
TEICV,Total energy expenditures in the industrial sector.,Million dollars
TEPFB,Total energy used as process fuel.,Billion Btu
TEPRB,Total energy production.,Billion Btu
