MSN,Description,Unit
ESTXB,"Electricity total end-use consumption (i.e., sold).",Billion Btu
ESTXD,"Electricity average price, all end-use sectors.",Dollars per million Btu
ESTXP,"Electricity total end-use consumption (i.e., sold).",Thousand barrels
ESTXV,Electricity total end-use expenditures.,Million dollars
GECCB,Direct use of geothermal energy and heat pumps in the commercial sector.,Billion Btu
GEEGB,Electricity produced from geothermal energy by the electric power sector.,Billion Btu
GEEGP,Electricity produced from geothermal energy by the electric power sector.,Million kilowatthours
GEICB,Direct use of geothermal energy and heat pumps in the industrial sector.,Billion Btu
GERCB,Direct use of geothermal energy and heat pumps in the residential sector.,Billion Btu
GETCB,Geothermal energy total consumption.,Billion Btu
GETXB,Geothermal total end-use consumption.,Billion Btu
GETXV,,
HYCCB,Hydroelectricity produced in the commercial sector.,Billion Btu
HYCCP,Hydroelectricity produced in the commercial sector.,Million kilowatthours
HYEGB,Hydroelectricity produced by the electric power sector.,Billion Btu
HYEGP,Hydroelectricity produced by the electric power sector.,Million kilowatthours
HYICB,Hydroelectricity produced in the industrial sector.,Billion Btu
HYICP,Hydroelectricity produced in the industrial sector.,Million kilowatthours
HYTCB,Hydroelectricity total production.,Billion Btu
HYTCP,Hydroelectricity total production.,Million kilowatthours
HYTXB,Hydroelectricity produced by the end-use sectors.,Billion Btu
HYTXP,Hydroelectricity produced by the end-use sectors.,Million kilowatthours
HYTXV,,
LOACB,The transportation sector's share of electrical system energy losses.,Billion Btu
LOCCB,The commercial sector's share of electrical system energy losses.,Billion Btu
LOICB,The industrial sector's share of electrical system energy losses.,Billion Btu
LORCB,The residential sector's share of electrical system energy losses.,Billion Btu
LOTCB,Total electrical system energy losses.,Billion Btu
LOTXB,Total electrical system energy losses allocated to the end-use sectors.,Billion Btu
NNACB,Natural gas consumed by the transportation sector.  (Code used in SEDS 2006.),Billion Btu
NNCCB,Natural gas consumed by (delivered to) the commercial sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu
NNEIB,Natural gas consumed by the electric power sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu
NNICB,Natural gas consumed by (delivered to) the industrial sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu
NNRCB,Natural gas consumed by (delivered to) the residential sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu
NNTCB,Natural gas total consumption (excluding supplemental gaseous fuels).,Billion Btu
NUEGB,Electricity produced from nuclear power by the electric power sector.,Billion Btu
NUEGD,Nuclear fuel price in the electric power sector.,Dollars per million Btu
NUEGP,Electricity produced from nuclear power by the electric power sector.,Million kilowatthours
NUEGV,Nuclear fuel expenditures in the electric power sector.,Million dollars
PMTCB,All petroleum products total consumption excluding fuel ethanol.,Billion Btu
SOEGB,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu
SOEGP,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Million kilowatthours
SOTCB,Photovoltaic and solar thermal energy total consumption.,Billion Btu
SOTXB,Photovoltaic and solar thermal energy total end-use consumption.,Billion Btu
WDCCB,Wood consumed by the commercial sector,Billion Btu
WDEIB,Wood and waste consumed by the electric power sector.,Billion Btu
WDICB,Wood consumed by the industrial sector.,Billion Btu
WDRCB,Wood consumed by the residential sector.,Billion Btu
WDRCD,Wood price in the residential sector.,Dollars per million Btu
WDRCP,Wood consumed by the residential sector.,Thousand cords
WDRCV,Wood expenditures in the residential sector. ,Million dollars
WSCCB,Waste consumed by the commercial sector,Billion Btu
WSEIB,Waste consumed by the electric power sector.,Billion Btu
WSICB,Waste consumed by the industrial sector.,Billion Btu
WYEGB,Electricity produced from wind energy by the electric power sector.,Billion Btu
WYEGP,Electricity produced from wind energy by the electric power sector.,Million kilowatthours
WYTCB,Electricity produced from wind energy.,Billion Btu
